"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"HINDALCO",959,989.85,952.25,951.8,983.25,3.3,9386595,9200928150.9,"08-Aug-2025"
"BAJAJ-AUTO",9455,9625,9366,9366,9518,1.62,539407,5133207380.73,"20-Jun-2025"
"BEL",425,443.3,424.5,433.1,440,1.59,19917307,8746685369.05,"06-Mar-2026"
"DRREDDY",1189,1214.7,1189,1191.4,1210,1.56,2746602,3317373361.62,"10-Jul-2025"
"NTPC",376.95,384.2,376.5,374.15,379.7,1.48,18503665,7040089422.55,"06-Feb-2026"
"MAXHEALTH",941.5,962.5,941.5,941.15,953.85,1.35,3558583,3394567909.53,"04-Jul-2025"
"NESTLEIND",1209.5,1230.1,1206.4,1213.7,1230,1.34,1258634,1538931791.8,"06-Feb-2026"
"JSWSTEEL",1187.2,1218,1185,1194.3,1209.2,1.25,2563654,3092664002.9,"08-Jul-2025"
"TCS",2554,2605,2531.1,2559.2,2590,1.2,5628261,14508756336.24,"16-Jan-2026"
"COALINDIA",449.25,456.2,447.85,449.25,454.4,1.15,9468415,4293358097.6,"18-Feb-2026"
"ONGC",284.9,289.8,284.9,285.5,288.6,1.09,13585661,3914844073.76,"18-Feb-2026"
"POWERGRID",295.45,300.7,293.85,294.85,297.8,1,17644642,5259161994.52,"09-Feb-2026"
"TATACONSUM",1062.5,1087,1060.1,1068.5,1079,0.98,2167226,2327860791.12,"29-May-2025"
"CIPLA",1215.2,1231.2,1213.1,1215.9,1225,0.75,2545266,3118001755.32,"27-Jun-2025"
"TECHM",1452,1464,1433.6,1451.4,1461.1,0.67,1805451,2622074541.81,"20-Oct-2025"
"APOLLOHOSP",7400,7512,7364,7401.5,7447.5,0.62,416753,3113699191.49,"16-Feb-2026"
"HCLTECH",1458.9,1469,1436,1461,1465.8,0.33,3101205,4506423009.6,"16-Jan-2026"
"TATASTEEL",204.51,208.19,204.06,204.18,204.83,0.32,36853400,7582955584,"06-Jun-2025"
"SBILIFE",1907,1930,1881.1,1907.6,1911,0.18,1330082,2536931902.7,"06-Mar-2026"
"ITC",301.5,304.4,301.25,302.45,303,0.18,17691477,5362994337.78,"04-Feb-2026"
